item_id,variant_id,prompt_hash,correct,theta,stop_t
itm_0001,v21,f2a74de_T1,1,+1.226,
itm_0002,v24,9531985_T0,0,-2.945,402
itm_0003,v05,3d9c172_T0,1,-2.798,
itm_0004,v15,a170b33_T0,1,-2.863,
itm_0005,v36,dbc496c_T1,1,-0.350,
itm_0006,v37,4ef8aa3_T1,0,+0.755,
itm_0007,v24,18f135d_T0,0,+1.009,434
itm_0008,v21,7731af1_T3,1,-1.162,
itm_0009,v45,c7a2ea2_T1,0,+0.706,448
itm_0010,v22,babced2_T3,1,+0.941,
itm_0011,v33,6b0a18e_T1,1,-2.167,430
itm_0012,v03,f646e1f_T0,1,-0.887,359
itm_0013,v38,cc011cd_T3,0,+2.512,318
itm_0014,v45,aa05e11_T0,0,+1.772,338
itm_0015,v19,b774eb5_T3,1,-3.047,416
itm_0016,v11,9c65393_T0,1,-2.799,573
itm_0017,v09,bd0561e_T1,1,-0.542,626
itm_0018,v06,2a96fb1_T3,1,+0.536,
itm_0019,v28,dd2e160_T2,1,+3.508,529
itm_0020,v15,26a2c0b_T0,0,-2.171,
itm_0021,v01,7c26847_T1,1,-1.283,254
itm_0022,v35,5e8766e_T2,0,+1.495,
itm_0023,v30,e647cb8_T3,1,-0.487,233
itm_0024,v41,6683688_T0,0,-2.742,286
itm_0025,v11,1c2442f_T2,0,-2.504,
itm_0026,v35,19f9919_T2,0,-2.722,286
itm_0027,v10,a268aa8_T2,1,+0.895,
itm_0028,v08,d953ee2_T3,1,+0.067,
itm_0029,v10,1a28f7b_T2,1,+0.055,
itm_0030,v34,05e999f_T1,1,-2.203,
itm_0031,v34,4c4f9b0_T0,1,+0.325,265
itm_0032,v15,8857f9a_T2,0,+0.970,
itm_0033,v16,d17e449_T3,0,-1.841,432
itm_0034,v47,076b3e3_T0,1,+0.011,279
itm_0035,v29,cefe2a1_T2,1,-2.652,
itm_0036,v31,325b55d_T2,0,+0.082,
itm_0037,v31,e8c1474_T2,0,+2.476,241
itm_0038,v46,c009349_T1,1,+2.845,402
itm_0039,v06,cd02c5e_T3,1,-0.471,
itm_0040,v11,fe3c9c8_T1,0,-2.172,
itm_0041,v40,d39630d_T3,1,-2.140,
itm_0042,v02,03a56cc_T0,0,-0.250,
itm_0043,v14,072a98d_T2,0,-1.208,303
itm_0044,v17,8b5ab3e_T3,0,-2.786,558
itm_0045,v30,a997f35_T3,0,+0.416,
itm_0046,v29,c6c91b9_T1,0,+2.077,
itm_0047,v10,7936d53_T0,0,-0.983,445
itm_0048,v07,e21b37c_T0,0,-1.899,
itm_0049,v33,73c1cd2_T0,0,-0.186,
itm_0050,v45,46f5a1b_T3,1,+0.253,306
itm_0051,v36,e48b966_T1,1,-2.267,242
itm_0052,v29,50e40d5_T0,0,-0.287,288
itm_0053,v08,e5a3863_T1,1,-2.228,
itm_0054,v30,3836e86_T0,1,+2.818,
itm_0055,v11,b4d19ec_T3,1,-0.894,280
itm_0056,v21,179a071_T2,0,-0.902,414
itm_0057,v46,04a1054_T3,1,+0.319,
itm_0058,v08,fc2e6a5_T1,0,-2.628,
itm_0059,v12,453bf49_T1,1,+2.577,526
itm_0060,v26,263cfa5_T3,1,-2.592,
itm_0061,v28,e531696_T0,1,+3.181,
itm_0062,v17,1570266_T1,0,-1.402,242
itm_0063,v01,56d2a68_T3,1,+1.028,
itm_0064,v08,f81e54d_T1,1,-2.857,283
itm_0065,v41,4e14d57_T1,1,-0.169,
itm_0066,v18,58d50f1_T0,1,-2.949,
itm_0067,v33,7989e9d_T1,1,-2.477,599
itm_0068,v43,7eb86c5_T3,1,+1.477,297
itm_0069,v13,d510bb0_T1,1,+3.528,
itm_0070,v01,121ae3e_T2,1,-2.090,223
itm_0071,v33,aba8b9b_T2,0,+1.510,203
itm_0072,v12,2854142_T2,1,-3.175,366
itm_0073,v36,52d31e1_T1,0,+3.367,
itm_0074,v23,2ed6541_T0,1,-0.605,423
itm_0075,v33,a7f0c99_T1,0,+0.232,
itm_0076,v17,d129d06_T0,0,-0.483,201
itm_0077,v02,4cb59aa_T2,0,-2.626,
itm_0078,v43,e48e9e0_T3,1,+1.701,
itm_0079,v19,b96245d_T1,0,+2.409,546
itm_0080,v47,b3783a7_T1,0,+2.420,
itm_0081,v06,07fa22f_T0,0,+1.132,233
itm_0082,v29,8efba44_T0,0,+1.058,
itm_0083,v32,4387ee7_T0,1,+2.224,
itm_0084,v43,86a74a6_T0,1,-1.485,218
itm_0085,v16,bab5b37_T1,0,+1.831,415
itm_0086,v25,13a5397_T3,1,+2.015,
itm_0087,v05,998648e_T1,1,-1.473,560
itm_0088,v40,9158d4a_T1,0,+0.080,428
itm_0089,v44,197a14e_T1,1,-1.222,444
itm_0090,v30,774510c_T3,0,+3.554,
itm_0091,v20,fa6672c_T0,1,-3.081,
itm_0092,v33,f7d5f12_T3,1,-0.569,
itm_0093,v38,171e1a8_T1,1,+3.279,247
itm_0094,v08,b40de56_T2,0,+0.186,628
itm_0095,v26,065b8c3_T1,0,+3.260,528
itm_0096,v26,4d4ca9c_T1,1,-0.861,
itm_0097,v22,00721f8_T2,1,+2.506,
itm_0098,v46,0300300_T2,1,-0.669,381
itm_0099,v38,138efef_T2,1,+1.938,
itm_0100,v18,1a09a84_T0,1,+1.118,
itm_0101,v18,6fad793_T2,0,+2.058,581
itm_0102,v02,cfdcc25_T3,0,+1.693,205
itm_0103,v29,9d6b023_T1,1,+0.102,
itm_0104,v11,78e10e7_T3,1,-1.284,310
itm_0105,v26,a7ef4f5_T1,1,+0.086,522
itm_0106,v08,2ad64ce_T1,0,-1.786,595
itm_0107,v36,3853933_T3,1,+3.576,410
itm_0108,v09,8c3ba85_T1,0,-2.583,
itm_0109,v21,3d37664_T2,1,+2.304,
itm_0110,v48,dee0a84_T3,1,-0.386,
itm_0111,v25,452e704_T2,0,+0.187,474
itm_0112,v09,afcf0e7_T1,0,-1.357,307
itm_0113,v26,a5529b0_T3,1,+3.287,
itm_0114,v09,08411c0_T3,1,+3.384,
itm_0115,v05,643ab9e_T3,1,-1.510,
itm_0116,v10,26edf1b_T0,1,-2.622,
itm_0117,v01,c844b8f_T1,0,+0.672,199
itm_0118,v09,a060846_T2,1,+1.550,
itm_0119,v05,4ce3b0c_T1,1,-1.426,
itm_0120,v01,89980c5_T2,1,-1.305,
itm_0121,v31,86ba22d_T1,0,-3.001,390
itm_0122,v04,0593dba_T1,1,+2.817,511
itm_0123,v06,41db898_T1,1,+3.091,296
itm_0124,v03,b221713_T2,1,-0.736,
itm_0125,v01,cc0c668_T2,0,-1.805,282
itm_0126,v13,3b16494_T3,0,-1.398,635
itm_0127,v07,f3b17af_T3,0,+2.896,428
itm_0128,v43,0e71597_T1,1,-2.830,
itm_0129,v27,0d456be_T0,0,-0.525,639
itm_0130,v47,1cfb0a0_T0,0,-0.961,274
itm_0131,v03,4fd3e75_T3,1,+3.498,
itm_0132,v07,00bc22c_T0,1,-2.651,
itm_0133,v36,f6da7a6_T1,1,-0.775,600
itm_0134,v28,167774e_T0,1,-1.869,457
itm_0135,v13,52c4641_T2,1,-2.994,
itm_0136,v41,c4445aa_T3,0,-0.646,
itm_0137,v04,41cbcc3_T1,0,+2.910,353
itm_0138,v18,55c0a74_T0,1,+1.876,533
itm_0139,v18,4c22cab_T0,0,-3.035,
itm_0140,v31,b72fac4_T3,1,+2.171,400
